Date,Company,Ticker,Avg_Sentiment,Min_Sentiment,Max_Sentiment,News_Count,Sample_Title
2024-08-10,ypf,YPF,-0.0516,-0.0516,-0.0516,1,The hunt for Argentina’s ‘alter egos’ in $16bn US court fight
2024-08-12,minas_buenaventura,BVN,-0.765,-0.765,-0.765,1,NDIC pays 82% of defunct Heritage Bank depositors
2024-08-12,ypf,YPF,-0.2411,-0.2411,-0.2411,1,Earnings call: Central Puerto reports mixed Q2 2024 results amid new projects
2024-08-15,vista_energy,VIST,-0.7184,-0.7184,-0.7184,1,Effect of low-intensity pulsed ultrasound on postoperative rehabilitation of rotator cuff tears: Protocol for a systematic review and meta-analysis
2024-08-16,ypf,YPF,-0.5859,-0.5859,-0.5859,1,Conflict Is Brewing in Libya Once Again
2024-08-20,vista_energy,VIST,-0.3612,-0.3612,-0.3612,1,"JPMorgan sees upside in Vista Oil & Gas stock, strategic focus on Argentinian shale"
2024-08-22,vista_energy,VIST,-0.6808,-0.6808,-0.6808,1,"A minimum data set—Core outcome set, core data elements, and core measurement set—For degenerative cervical myelopathy research (AO Spine RECODE DCM): A consensus study"
2024-08-23,minas_buenaventura,BVN,-0.8934,-0.8934,-0.8934,1,Fidelity Bank faults NDPC data breach allegation
2024-08-26,petrobras,PBR,-0.30183333333333334,-0.4404,-0.1531,3,50 Evil Masks Mega Pack - Rangers Low Poly Mask by Laxminarayan Artistry
2024-08-27,petrobras,PBR,-0.2179,-0.34,-0.0958,2,Lula’s Push for Natural Gas Raises Intervention Fears in Brazil
2024-08-28,aes_andes,AES,-0.28555,-0.4939,-0.0772,2,"New LummaC2 Malware Variant Uses PowerShell, Obfuscation to Steal Data"
2024-08-28,minas_buenaventura,BVN,-0.9643,-0.9643,-0.9643,1,"Rivers family accuses police of son’s arrest, torture"
2024-08-28,vista_energy,VIST,-0.9327666666666667,-0.9806,-0.891,3,'This story is from Mississippi': PA Democrats pounce as rival conflates Philadelphias
2024-08-30,aes_andes,AES,-0.64966,-0.91,-0.0258,5,Silent Intrusions: Godzilla Fileless Backdoors Targeting Atlassian Confluence
2024-08-30,interconexion_electrica,ISA,-0.7408,-0.9836,-0.5023,5,NFRA-ICAI tussle over key audit standard overhaul: CA Institute Council to meet on Sep 17 to discuss future strategy
2024-08-31,aes_andes,AES,-0.7506,-0.7506,-0.7506,1,Netlogon Weak Cryptographic Authentication
2024-08-31,interconexion_electrica,ISA,-0.7428750000000001,-0.9633,-0.3612,4,Israel Expands West Bank Operation After Car Bombings by Hamas Terrorists
2024-08-31,pampa_energía,PAM,-0.6597,-0.6597,-0.6597,1,Scaramucci: Trump Has a ‘Problem Reading and Probably Various Learning Disabilities’
2024-09-01,interconexion_electrica,ISA,-0.83206,-0.9837,-0.4939,5,"American-Israeli Hostage Hersh Goldberg-Polin Found Dead in Gaza, Murdered by Hamas"
2024-09-01,pampa_energía,PAM,-0.88435,-0.9225,-0.8462,2,"Cotton: Biden, Harris Have Not Let Israel Win the War"
2024-09-02,aes_andes,AES,-0.5001333333333333,-0.7424,-0.0772,3,Developing EV battery enclosures with lower carbon emissions
2024-09-02,ecopetrol,EC,-0.6199,-0.6199,-0.6199,1,"Chronological Reading for Monday September 2, 2024 (NIV)"
2024-09-02,interconexion_electrica,ISA,-0.8649133333333333,-0.9923,-0.3917,15,"Former police official: 'Hamas didn't plan for festival, massacre was almost prevented'"
2024-09-02,pampa_energía,PAM,-0.518025,-0.8595,-0.296,4,MSNBC's Johnson: Voters Don't Care About Harris Doing Interviews
2024-09-02,petrobras,PBR,-0.9666,-0.9666,-0.9666,1,"Scarcity: NNPC constitutes economic danger, sell it"
2024-09-03,aes_andes,AES,-0.3475,-0.9652,-0.0516,4,Impact of vaccination against Japanese encephalitis in endemic countries
2024-09-03,ecopetrol,EC,-0.77206,-0.9652,-0.2023,10,New global guidance aims to curb antibiotic pollution from manufacturing
2024-09-03,interconexion_electrica,ISA,-0.7085333333333333,-0.9963,-0.1531,15,Your Cynicism Isn’t Helping Anybody
2024-09-03,pampa_energía,PAM,-0.69135,-0.9042,-0.1027,8,"RFK Jr: 'Undemocratic' DNC Trying to Keep Me on Ballots, They Don't Have Confidence in Their Nominees"
2024-09-04,aes_andes,AES,-0.7145,-0.8166,-0.6124,2,hoardy-adb added to PyPI
2024-09-04,ecopetrol,EC,-0.6601571428571429,-0.8591,-0.4632,7,The 2024 Presidential Election comes down to two states which are somehow not Joy and Anger [Obvious]
2024-09-04,interconexion_electrica,ISA,-0.6984,-0.9618,-0.25,3,Murdered Israeli Hostages Were Found in Tunnel Under Children's Room
2024-09-04,pampa_energía,PAM,-0.5696833333333333,-0.9552,-0.0387,6,"First Look At ‘Barney’s World,’ Set To Premiere On Max Next Month"
2024-09-04,petrobras,PBR,-0.7424999999999999,-0.8481,-0.6369,2,"Global borrowing blitz led by blue chips selling $43 bn in bonds, loans"
2024-09-05,aes_andes,AES,-0.8748,-0.8748,-0.8748,1,Sheep Thrive In Solar Project Opponents Tried To Kill
2024-09-05,ecopetrol,EC,-0.9444,-0.9517,-0.9371,2,"Colombia trucker protests threaten fuel supplies, state oil company operations"
2024-09-05,pampa_energía,PAM,-0.7844500000000001,-0.9565,-0.6124,2,Caitlin Clark Accused Of Stat-Padding By Critics During Record-Breaking Performance Vs Sparks
